model,accuracy,precision,recall,f1,train_num_rows,test_num_rows,duration_training,duration_testing
KNeighborsClassifier,0.9420456006514378,0.7383420189206736,0.6935856944462674,0.7052070797892789,373325,93332,1.0281,63.0956
SVC,0.8191831311875883,0.7078560926897761,0.6279012305572742,0.6255560939508432,373325,93332,2615.1888,1845.2956
LogisticRegression,0.8417370248146402,0.6915097664395915,0.5837101955443786,0.6009466239708344,373325,93332,801.7561,0.0587
GaussianNB,0.756857240817726,0.5586043760883835,0.5115866928421093,0.405759129224804,373325,93332,1.6569,0.8361
RandomForestClassifier,0.9925856083658338,0.8474013325059001,0.8002220245669722,0.8052798861863132,373325,93332,80.0787,2.6569
